timestamp,y_true,yhat,resid,z,flag_z,flag_cusum
2020-08-24 23:00:00+00:00,5815.35,4485.789964458404,1329.5600355415963,,0,0
2020-08-25 23:00:00+00:00,5935.18,5911.7182421482585,23.461757851741822,,0,0
2020-08-26 23:00:00+00:00,5972.09,5948.489779282289,23.600220717710727,,0,0
2020-08-27 23:00:00+00:00,5845.39,5946.112586608148,-100.72258660814805,,0,0
2020-08-28 23:00:00+00:00,5203.89,5747.058707860569,-543.1687078605682,,0,0
2020-08-29 23:00:00+00:00,4839.84,4748.868467868206,90.97153213179445,,0,0
2020-08-30 23:00:00+00:00,5525.55,4685.266497800688,840.2835021993124,,0,0
2020-08-31 23:00:00+00:00,5771.19,4496.308584027692,1274.8814159723079,,0,0
2020-09-01 23:00:00+00:00,5829.02,5939.146794673123,-110.12679467312228,,0,0
2020-09-02 23:00:00+00:00,5914.17,5949.233072607292,-35.06307260729227,,0,0
2020-09-03 23:00:00+00:00,5849.79,5941.523598692541,-91.73359869254091,,0,0
2020-09-04 23:00:00+00:00,5278.29,5761.151140049025,-482.8611400490254,,0,0
2020-09-05 23:00:00+00:00,4916.47,4777.605527704835,138.8644722951649,,0,0
2020-09-06 23:00:00+00:00,5663.96,4731.916152078451,932.0438479215491,,0,0
2020-09-07 23:00:00+00:00,6001.86,4619.484669692952,1382.375330307048,,0,0
2020-09-08 23:00:00+00:00,5993.31,6001.162409719433,-7.852409719432217,,0,0
2020-09-09 23:00:00+00:00,6009.36,5999.982071758111,9.377928241889094,,0,0
2020-09-10 23:00:00+00:00,5979.47,5978.638522134628,0.8314778653721078,,0,0
2020-09-11 23:00:00+00:00,5290.3,5785.563480382381,-495.2634803823812,,0,0
2020-09-12 23:00:00+00:00,4924.83,4808.738723093416,116.09127690658352,,0,0
2020-09-13 23:00:00+00:00,5738.89,4772.602804805834,966.2871951941661,,0,0
2020-09-14 23:00:00+00:00,5965.58,4654.543708529354,1311.0362914706457,,0,0
2020-09-15 23:00:00+00:00,6033.89,6040.383602813035,-6.493602813035068,,0,0
2020-09-16 23:00:00+00:00,6118.78,6046.661107962888,72.11889203711144,,0,0
2020-09-17 23:00:00+00:00,5954.28,6017.915594514222,-63.63559451422225,,0,0
2020-09-18 23:00:00+00:00,5383.74,5824.172485493584,-440.43248549358395,,0,0
2020-09-19 23:00:00+00:00,4978.25,4849.087903275309,129.16209672469085,,0,0
2020-09-20 23:00:00+00:00,5763.47,4808.524989568707,954.9450104312937,,0,0
2020-09-21 23:00:00+00:00,6044.41,4686.155633825682,1358.2543661743175,,0,0
2020-09-22 23:00:00+00:00,6135.96,6092.962672518559,42.99732748144106,,0,0
2020-09-23 23:00:00+00:00,6173.37,6115.861958705291,57.508041294709074,,0,0
2020-09-24 23:00:00+00:00,6067.0,6077.519965117054,-10.519965117054198,,0,0
2020-09-25 23:00:00+00:00,5442.43,5896.584807327465,-454.15480732746437,,0,0
2020-09-26 23:00:00+00:00,5110.84,4919.863104767191,190.9768952328095,,0,0
2020-09-27 23:00:00+00:00,5282.41,4857.998098923795,424.41190107620514,,0,0
2020-09-28 23:00:00+00:00,5990.78,4680.707901042977,1310.0720989570227,,0,0
