timestamp,strategy,reason,duration_s,mase7,pi7
2020-09-18 00:00:00+00:00,rolling_sarima,scheduled,28.722,,0.0
2020-09-19 00:00:00+00:00,rolling_sarima,scheduled,31.147,,0.0
2020-09-20 00:00:00+00:00,rolling_sarima,scheduled,26.721,,0.0
2020-09-21 00:00:00+00:00,rolling_sarima,scheduled,29.002,,0.0
2020-09-22 00:00:00+00:00,rolling_sarima,scheduled,29.1,,0.0
2020-09-23 00:00:00+00:00,rolling_sarima,scheduled,30.558,0.6314941760356135,0.0
2020-09-24 00:00:00+00:00,rolling_sarima,scheduled,25.825,2.9773345261335464,1.7857142857142856
2020-09-25 00:00:00+00:00,rolling_sarima,scheduled,29.776,2.95388343592492,3.571428571428571
2020-09-26 00:00:00+00:00,rolling_sarima,scheduled,23.495,2.9869941221532326,4.761904761904762
2020-09-27 00:00:00+00:00,rolling_sarima,scheduled,25.292,2.739313710587236,6.547619047619048
2020-09-28 00:00:00+00:00,rolling_sarima,scheduled,28.395,2.573521351005285,8.333333333333332
2020-09-29 00:00:00+00:00,rolling_sarima,scheduled,30.511,2.543412333544738,10.119047619047619
